,year,state,district,chloride,sdp,intercept,gini,region
2867,2006,chhattisgarh,dhamtari,29.200001,102835.45434201976,1,0.3,central_region
2868,2007,chhattisgarh,dhamtari,34.8125,111148.14951274091,1,0.3,central_region
2869,2008,chhattisgarh,dhamtari,37.1875,118439.98738179456,1,0.3,central_region
2870,2009,chhattisgarh,dhamtari,24.0,121728.50355879591,1,0.3,central_region
2871,2010,chhattisgarh,dhamtari,,133465.28146971774,1,0.3,central_region
2872,2011,chhattisgarh,dhamtari,14.0,142273.0,1,0.3,central_region
2873,2012,chhattisgarh,dhamtari,49.315788,148760.0,1,0.3,central_region
2874,2013,chhattisgarh,dhamtari,71.375,163494.0,1,0.3,central_region
2875,2014,chhattisgarh,dhamtari,43.128571,165354.0,1,0.3,central_region
2876,2015,chhattisgarh,dhamtari,68.904549,168879.0,1,0.3,central_region
2877,2016,chhattisgarh,dhamtari,52.140625,187541.0,1,0.3,central_region
2878,2017,chhattisgarh,dhamtari,56.941936,194073.0,1,0.3,central_region
2879,2018,chhattisgarh,dhamtari,101.075,209211.0,1,0.3,central_region
2880,2000,jharkhand,dhanbad,144.8,65731.49293120936,1,0.34,eastern_region
2881,2001,jharkhand,dhanbad,67.0,70260.19384688395,1,0.34,eastern_region
2882,2002,jharkhand,dhanbad,,72227.4792745967,1,0.34,eastern_region
2883,2003,jharkhand,dhanbad,,77692.98277489642,1,0.34,eastern_region
2884,2004,jharkhand,dhanbad,119.2,90933.9477275846,1,0.34,eastern_region
2885,2005,jharkhand,dhanbad,149.0,86858.23663560263,1,0.34,eastern_region
2886,2006,jharkhand,dhanbad,113.8,88313.3580473321,1,0.34,eastern_region
2887,2007,jharkhand,dhanbad,177.75,107985.77685043102,1,0.34,eastern_region
2888,2008,jharkhand,dhanbad,168.5,103644.40755018276,1,0.34,eastern_region
2889,2009,jharkhand,dhanbad,165.33333,113915.95362850404,1,0.34,eastern_region
2890,2010,jharkhand,dhanbad,137.474,130487.88405254688,1,0.34,eastern_region
2891,2011,jharkhand,dhanbad,124.788,137383.0,1,0.34,eastern_region
2892,2012,jharkhand,dhanbad,172.0,149526.0,1,0.34,eastern_region
2893,2013,jharkhand,dhanbad,131.2,150609.0,1,0.34,eastern_region
2894,2014,jharkhand,dhanbad,,170568.0,1,0.34,eastern_region
2895,2015,jharkhand,dhanbad,,158231.0,1,0.34,eastern_region
2896,2016,jharkhand,dhanbad,,176363.0,1,0.34,eastern_region
2897,2017,jharkhand,dhanbad,,191573.0,1,0.34,eastern_region
2898,2018,jharkhand,dhanbad,95.985001,208701.0,1,0.34,eastern_region
2899,2000,madhyapradesh,dhar,78.0,142623.92245088037,1,0.24,central_region
2900,2001,madhyapradesh,dhar,156.16667,152826.6075400632,1,0.24,central_region
2901,2002,madhyapradesh,dhar,134.30435,144856.76138662823,1,0.24,central_region
2902,2003,madhyapradesh,dhar,,161106.27345013304,1,0.24,central_region
2903,2004,madhyapradesh,dhar,141.95454,166392.43950471698,1,0.24,central_region
2904,2005,madhyapradesh,dhar,57.0,174775.328567217,1,0.24,central_region
2905,2006,madhyapradesh,dhar,111.26923,190708.6450176887,1,0.24,central_region
2906,2007,madhyapradesh,dhar,130.28572,199720.8751061321,1,0.24,central_region
2907,2008,madhyapradesh,dhar,135.61539,224971.1026179245,1,0.24,central_region
2908,2009,madhyapradesh,dhar,114.04546,246297.10579599056,1,0.24,central_region
2909,2010,madhyapradesh,dhar,121.10526,259230.23037146227,1,0.24,central_region
2910,2011,madhyapradesh,dhar,91.227272,282371.0,1,0.24,central_region
2911,2012,madhyapradesh,dhar,124.75,306853.0,1,0.24,central_region
2912,2013,madhyapradesh,dhar,107.5,322598.0,1,0.24,central_region
2913,2014,madhyapradesh,dhar,82.0,339247.0,1,0.24,central_region
2914,2015,madhyapradesh,dhar,126.625,370716.0,1,0.24,central_region
2915,2016,madhyapradesh,dhar,93.879997,419465.0,1,0.24,central_region
2916,2017,madhyapradesh,dhar,107.15385,441956.0,1,0.24,central_region
2917,2018,madhyapradesh,dhar,121.07558,482361.0,1,0.24,central_region
2918,2000,tamilnadu,dharmapuri,275.41666,288498.3205747694,1,0.32,southern_region
2919,2001,tamilnadu,dharmapuri,236.23334,282908.6927283517,1,0.32,southern_region
2920,2002,tamilnadu,dharmapuri,177.5,284324.36644762417,1,0.32,southern_region
2921,2003,tamilnadu,dharmapuri,,302043.121385615,1,0.32,southern_region
2922,2004,tamilnadu,dharmapuri,314.66666,337921.3167903381,1,0.32,southern_region
2923,2005,tamilnadu,dharmapuri,323.90909,386683.4090471607,1,0.32,southern_region
2924,2006,tamilnadu,dharmapuri,239.08333,447233.3527585457,1,0.32,southern_region
2925,2007,tamilnadu,dharmapuri,404.71429,475248.4774441926,1,0.32,southern_region
2926,2008,tamilnadu,dharmapuri,,500384.2601757273,1,0.32,southern_region
2927,2009,tamilnadu,dharmapuri,317.09091,552763.8529603527,1,0.32,southern_region
2928,2010,tamilnadu,dharmapuri,375.375,628152.0055419293,1,0.32,southern_region
2929,2011,tamilnadu,dharmapuri,374.375,674478.0,1,0.32,southern_region
2930,2012,tamilnadu,dharmapuri,279.81818,709343.0,1,0.32,southern_region
2931,2013,tamilnadu,dharmapuri,436.14285,750416.0,1,0.32,southern_region
2932,2014,tamilnadu,dharmapuri,312.87274,791915.0,1,0.32,southern_region
2933,2015,tamilnadu,dharmapuri,390.8125,862437.0,1,0.32,southern_region
2934,2016,tamilnadu,dharmapuri,510.45001,922084.0,1,0.32,southern_region
2935,2017,tamilnadu,dharmapuri,368.47058,1000308.0,1,0.32,southern_region
2936,2018,tamilnadu,dharmapuri,290.45367,1071602.0,1,0.32,southern_region
2937,2000,karnataka,dharwad,273.57144,276258.6426431352,1,0.34,southern_region
2938,2001,karnataka,dharwad,,281266.3155456815,1,0.34,southern_region
2939,2002,karnataka,dharwad,218.16667,296352.99111225107,1,0.34,southern_region
2940,2003,karnataka,dharwad,,302124.54632196546,1,0.34,southern_region
2941,2004,karnataka,dharwad,157.0,332758.6518626028,1,0.34,southern_region
2942,2005,karnataka,dharwad,186.71428,366994.563425254,1,0.34,southern_region
2943,2006,karnataka,dharwad,352.90909,405152.5474600871,1,0.34,southern_region
2944,2007,karnataka,dharwad,394.84616,455994.0619254959,1,0.34,southern_region
2945,2008,karnataka,dharwad,,488433.38238993706,1,0.34,southern_region
2946,2009,karnataka,dharwad,,488554.19922593125,1,0.34,southern_region
2947,2010,karnataka,dharwad,394.33334,538791.629511369,1,0.34,southern_region
2948,2011,karnataka,dharwad,,554952.0,1,0.34,southern_region
2949,2012,karnataka,dharwad,500.13333,593192.0,1,0.34,southern_region
2950,2013,karnataka,dharwad,380.92001,646787.0,1,0.34,southern_region
2951,2014,karnataka,dharwad,244.75,671283.0,1,0.34,southern_region
2952,2015,karnataka,dharwad,,749952.0,1,0.34,southern_region
2953,2016,karnataka,dharwad,416.2774,851394.0,1,0.34,southern_region
2954,2017,karnataka,dharwad,411.76471,915642.0,1,0.34,southern_region
2955,2018,karnataka,dharwad,289.23157,974815.0,1,0.34,southern_region
2956,2000,rajasthan,dhaulpur,603.0,174261.4982756208,1,0.25,northern_region
2957,2001,rajasthan,dhaulpur,717.0,194105.2216453936,1,0.25,northern_region
2958,2002,rajasthan,dhaulpur,369.5,170786.6612538214,1,0.25,northern_region
2959,2003,rajasthan,dhaulpur,,225128.6442802708,1,0.25,northern_region
2960,2004,rajasthan,dhaulpur,397.5,219623.783673409,1,0.25,northern_region
2961,2005,rajasthan,dhaulpur,213.0,234376.38095379013,1,0.25,northern_region
2962,2006,rajasthan,dhaulpur,845.0,261962.91892931657,1,0.25,northern_region
2963,2007,rajasthan,dhaulpur,163.0,273897.97681369574,1,0.25,northern_region
2964,2008,rajasthan,dhaulpur,,296931.6051077934,1,0.25,northern_region
2965,2009,rajasthan,dhaulpur,465.0,314236.5616057293,1,0.25,northern_region
2966,2010,rajasthan,dhaulpur,709.0,361436.6835150852,1,0.25,northern_region
2967,2011,rajasthan,dhaulpur,980.0,395331.0,1,0.25,northern_region
2968,2012,rajasthan,dhaulpur,1136.0,409802.0,1,0.25,northern_region
2969,2013,rajasthan,dhaulpur,973.0,434292.0,1,0.25,northern_region
2970,2014,rajasthan,dhaulpur,256.0,465408.0,1,0.25,northern_region
2971,2015,rajasthan,dhaulpur,1141.0,501922.0,1,0.25,northern_region
2972,2016,rajasthan,dhaulpur,695.0,529650.0,1,0.25,northern_region
2973,2017,rajasthan,dhaulpur,71.0,557618.0,1,0.25,northern_region
2974,2018,rajasthan,dhaulpur,99.0,568102.0,1,0.25,northern_region
2975,2000,assam,dhemaji,,76319.67589577519,1,0.18,north_eastern_region
2976,2001,assam,dhemaji,,78289.23092102491,1,0.18,north_eastern_region
2977,2002,assam,dhemaji,,83032.90536200421,1,0.18,north_eastern_region
2978,2003,assam,dhemaji,,88141.65670849023,1,0.18,north_eastern_region
2979,2004,assam,dhemaji,,91169.23716052705,1,0.18,north_eastern_region
2980,2005,assam,dhemaji,,93915.07735054224,1,0.18,north_eastern_region
2981,2006,assam,dhemaji,,98156.54055749752,1,0.18,north_eastern_region
2982,2007,assam,dhemaji,,102351.6278569508,1,0.18,north_eastern_region
2983,2008,assam,dhemaji,,108448.12736398671,1,0.18,north_eastern_region
2984,2009,assam,dhemaji,,118440.20310119208,1,0.18,north_eastern_region
2985,2010,assam,dhemaji,,124268.10881061218,1,0.18,north_eastern_region
2986,2011,assam,dhemaji,,129354.0,1,0.18,north_eastern_region
2987,2012,assam,dhemaji,,132518.0,1,0.18,north_eastern_region
2988,2013,assam,dhemaji,,138725.0,1,0.18,north_eastern_region
2989,2014,assam,dhemaji,55.099998,146425.0,1,0.18,north_eastern_region
2990,2015,assam,dhemaji,36.724998,167629.0,1,0.18,north_eastern_region
2991,2016,assam,dhemaji,21.560949,179632.0,1,0.18,north_eastern_region
2992,2017,assam,dhemaji,24.815001,195262.0,1,0.18,north_eastern_region
2993,2018,assam,dhemaji,25.405834,204627.0,1,0.18,north_eastern_region
2994,2000,odisha,dhenkanal,80.597145,98181.20095221567,1,0.24,eastern_region
2995,2001,odisha,dhenkanal,,104158.31573762312,1,0.24,eastern_region
2996,2002,odisha,dhenkanal,92.619102,103409.86331502158,1,0.24,eastern_region
2997,2003,odisha,dhenkanal,,118510.2192096142,1,0.24,eastern_region
2998,2004,odisha,dhenkanal,80.699997,133986.11438993324,1,0.24,eastern_region
2999,2005,odisha,dhenkanal,,139933.87047902113,1,0.24,eastern_region
3000,2006,odisha,dhenkanal,,157355.39593546148,1,0.24,eastern_region
3001,2007,odisha,dhenkanal,,170849.19512100978,1,0.24,eastern_region
3002,2008,odisha,dhenkanal,76.088234,183688.7017215425,1,0.24,eastern_region
3003,2009,odisha,dhenkanal,62.0,185166.7723202224,1,0.24,eastern_region
3004,2010,odisha,dhenkanal,,196839.58852819703,1,0.24,eastern_region
3005,2011,odisha,dhenkanal,,204226.0,1,0.24,eastern_region
3006,2012,odisha,dhenkanal,86.813637,216301.0,1,0.24,eastern_region
3007,2013,odisha,dhenkanal,81.794868,233122.0,1,0.24,eastern_region
3008,2014,odisha,dhenkanal,72.881027,235931.0,1,0.24,eastern_region
3009,2015,odisha,dhenkanal,91.484848,253192.0,1,0.24,eastern_region
3010,2016,odisha,dhenkanal,93.13636,293348.0,1,0.24,eastern_region
3011,2017,odisha,dhenkanal,65.774193,316192.0,1,0.24,eastern_region
3012,2018,odisha,dhenkanal,122.39286,338339.0,1,0.24,eastern_region
3013,2000,rajasthan,dholpur,133.875,174261.4982756208,1,0.25,northern_region
3014,2001,rajasthan,dholpur,324.61539,194105.2216453936,1,0.25,northern_region
3015,2002,rajasthan,dholpur,93.0,170786.6612538214,1,0.25,northern_region
3016,2003,rajasthan,dholpur,,225128.6442802708,1,0.25,northern_region
3017,2004,rajasthan,dholpur,147.09091,219623.783673409,1,0.25,northern_region
3018,2005,rajasthan,dholpur,96.818184,234376.38095379013,1,0.25,northern_region
3019,2006,rajasthan,dholpur,218.14285,261962.91892931657,1,0.25,northern_region
3020,2007,rajasthan,dholpur,332.0,273897.97681369574,1,0.25,northern_region
3021,2008,rajasthan,dholpur,57.0,296931.6051077934,1,0.25,northern_region
3022,2009,rajasthan,dholpur,72.099998,314236.5616057293,1,0.25,northern_region
3023,2010,rajasthan,dholpur,546.0,361436.6835150852,1,0.25,northern_region
3024,2011,rajasthan,dholpur,220.7,395331.0,1,0.25,northern_region
3025,2012,rajasthan,dholpur,534.08331,409802.0,1,0.25,northern_region
3026,2013,rajasthan,dholpur,215.16667,434292.0,1,0.25,northern_region
3027,2014,rajasthan,dholpur,228.0,465408.0,1,0.25,northern_region
3028,2015,rajasthan,dholpur,460.09091,501922.0,1,0.25,northern_region
3029,2016,rajasthan,dholpur,281.33334,529650.0,1,0.25,northern_region
3030,2017,rajasthan,dholpur,129.57143,557618.0,1,0.25,northern_region
3031,2018,rajasthan,dholpur,180.89166,568102.0,1,0.25,northern_region
3032,2000,assam,dhubri,,76319.67589577519,1,0.24,north_eastern_region
3033,2001,assam,dhubri,,78289.23092102491,1,0.24,north_eastern_region
3034,2002,assam,dhubri,,83032.90536200421,1,0.24,north_eastern_region
3035,2003,assam,dhubri,,88141.65670849023,1,0.24,north_eastern_region
3036,2004,assam,dhubri,,91169.23716052705,1,0.24,north_eastern_region
3037,2005,assam,dhubri,,93915.07735054224,1,0.24,north_eastern_region
3038,2006,assam,dhubri,,98156.54055749752,1,0.24,north_eastern_region
3039,2007,assam,dhubri,,102351.6278569508,1,0.24,north_eastern_region
3040,2008,assam,dhubri,,108448.12736398671,1,0.24,north_eastern_region
3041,2009,assam,dhubri,,118440.20310119208,1,0.24,north_eastern_region
3042,2010,assam,dhubri,,124268.10881061218,1,0.24,north_eastern_region
3043,2011,assam,dhubri,,129354.0,1,0.24,north_eastern_region
3044,2012,assam,dhubri,,132518.0,1,0.24,north_eastern_region
3045,2013,assam,dhubri,,138725.0,1,0.24,north_eastern_region
3046,2014,assam,dhubri,52.419998,146425.0,1,0.24,north_eastern_region
3047,2015,assam,dhubri,93.0,167629.0,1,0.24,north_eastern_region
3048,2016,assam,dhubri,26.802427,179632.0,1,0.24,north_eastern_region
3049,2017,assam,dhubri,,195262.0,1,0.24,north_eastern_region
3050,2018,assam,dhubri,52.162144,204627.0,1,0.24,north_eastern_region
3051,2000,maharashtra,dhule,117.68182,462182.04589375335,1,0.24,western_region
3052,2001,maharashtra,dhule,108.8125,478508.99779191246,1,0.24,western_region
3053,2002,maharashtra,dhule,127.8,511507.574365965,1,0.24,western_region
3054,2003,maharashtra,dhule,,551013.221724762,1,0.24,western_region
3055,2004,maharashtra,dhule,205.84763,599028.1154943785,1,0.24,western_region
3056,2005,maharashtra,dhule,200.41176,685815.41856348,1,0.24,western_region
3057,2006,maharashtra,dhule,146.3,780279.5182740722,1,0.24,western_region
3058,2007,maharashtra,dhule,181.6875,871096.2491881064,1,0.24,western_region
3059,2008,maharashtra,dhule,191.89722,884779.143581586,1,0.24,western_region
3060,2009,maharashtra,dhule,138.44444,970264.8556553776,1,0.24,western_region
3061,2010,maharashtra,dhule,,1080814.2888602451,1,0.24,western_region
3062,2011,maharashtra,dhule,,1126595.0,1,0.24,western_region
3063,2012,maharashtra,dhule,235.94737,1189711.0,1,0.24,western_region
3064,2013,maharashtra,dhule,231.26315,1267551.0,1,0.24,western_region
3065,2014,maharashtra,dhule,216.10345,1345341.0,1,0.24,western_region
3066,2015,maharashtra,dhule,,1452513.0,1,0.24,western_region
3067,2016,maharashtra,dhule,195.63637,1596121.0,1,0.24,western_region
3068,2017,maharashtra,dhule,162.86209,1661065.0,1,0.24,western_region
3069,2018,maharashtra,dhule,201.10489,1728578.0,1,0.24,western_region
3070,2000,assam,dibrugarh,,76319.67589577519,1,0.27,north_eastern_region
3071,2001,assam,dibrugarh,,78289.23092102491,1,0.27,north_eastern_region
3072,2002,assam,dibrugarh,,83032.90536200421,1,0.27,north_eastern_region
3073,2003,assam,dibrugarh,,88141.65670849023,1,0.27,north_eastern_region
3074,2004,assam,dibrugarh,,91169.23716052705,1,0.27,north_eastern_region
3075,2005,assam,dibrugarh,,93915.07735054224,1,0.27,north_eastern_region
3076,2006,assam,dibrugarh,,98156.54055749752,1,0.27,north_eastern_region
3077,2007,assam,dibrugarh,,102351.6278569508,1,0.27,north_eastern_region
3078,2008,assam,dibrugarh,,108448.12736398671,1,0.27,north_eastern_region
3079,2009,assam,dibrugarh,,118440.20310119208,1,0.27,north_eastern_region
3080,2010,assam,dibrugarh,,124268.10881061218,1,0.27,north_eastern_region
3081,2011,assam,dibrugarh,,129354.0,1,0.27,north_eastern_region
3082,2012,assam,dibrugarh,,132518.0,1,0.27,north_eastern_region
3083,2013,assam,dibrugarh,,138725.0,1,0.27,north_eastern_region
3084,2014,assam,dibrugarh,29.983334,146425.0,1,0.27,north_eastern_region
3085,2015,assam,dibrugarh,,167629.0,1,0.27,north_eastern_region
3086,2016,assam,dibrugarh,18.389669,179632.0,1,0.27,north_eastern_region
3087,2017,assam,dibrugarh,14.1825,195262.0,1,0.27,north_eastern_region
3088,2018,assam,dibrugarh,44.3125,204627.0,1,0.27,north_eastern_region
3089,2000,nagaland,dimapur,,4583.89551304567,1,0.24,north_eastern_region
3090,2001,nagaland,dimapur,,5109.571603991274,1,0.24,north_eastern_region
3091,2002,nagaland,dimapur,,5618.726446364301,1,0.24,north_eastern_region
3092,2003,nagaland,dimapur,,5875.556765083441,1,0.24,north_eastern_region
3093,2004,nagaland,dimapur,,6157.91992250565,1,0.24,north_eastern_region
3094,2005,nagaland,dimapur,,6799.724895059735,1,0.24,north_eastern_region
3095,2006,nagaland,dimapur,,7331.34388117533,1,0.24,north_eastern_region
3096,2007,nagaland,dimapur,,7926.575395544074,1,0.24,north_eastern_region
3097,2008,nagaland,dimapur,,8430.931869551177,1,0.24,north_eastern_region
3098,2009,nagaland,dimapur,,8908.02583144979,1,0.24,north_eastern_region
3099,2010,nagaland,dimapur,,9754.299644817564,1,0.24,north_eastern_region
3100,2011,nagaland,dimapur,,10554.0,1,0.24,north_eastern_region
3101,2012,nagaland,dimapur,,11163.0,1,0.24,north_eastern_region
3102,2013,nagaland,dimapur,,11923.0,1,0.24,north_eastern_region
3103,2014,nagaland,dimapur,43.583332,12406.0,1,0.24,north_eastern_region
3104,2015,nagaland,dimapur,88.699997,12600.0,1,0.24,north_eastern_region
3105,2016,nagaland,dimapur,62.772377,13488.0,1,0.24,north_eastern_region
3106,2017,nagaland,dimapur,,14178.0,1,0.24,north_eastern_region
3107,2018,nagaland,dimapur,,15055.0,1,0.24,north_eastern_region
3108,2000,westbengal,dinajpurdakshin,25.75,247972.31111561856,1,0.24,eastern_region
3109,2001,westbengal,dinajpurdakshin,66.5,265880.32837131777,1,0.24,eastern_region
3110,2002,westbengal,dinajpurdakshin,49.666668,275199.53359278664,1,0.24,eastern_region
3111,2003,westbengal,dinajpurdakshin,,291369.5209867059,1,0.24,eastern_region
3112,2004,westbengal,dinajpurdakshin,42.375,310686.6999675226,1,0.24,eastern_region
3113,2005,westbengal,dinajpurdakshin,52.714287,330248.80030542583,1,0.24,eastern_region
3114,2006,westbengal,dinajpurdakshin,44.357143,356170.8313006164,1,0.24,eastern_region
3115,2007,westbengal,dinajpurdakshin,42.599998,383881.4906091932,1,0.24,eastern_region
3116,2008,westbengal,dinajpurdakshin,,399354.5969692363,1,0.24,eastern_region
3117,2009,westbengal,dinajpurdakshin,64.833336,430366.20743387047,1,0.24,eastern_region
3118,2010,westbengal,dinajpurdakshin,18.5,456461.5424521131,1,0.24,eastern_region
3119,2011,westbengal,dinajpurdakshin,148.39999,473205.0,1,0.24,eastern_region
3120,2012,westbengal,dinajpurdakshin,91.0,492901.0,1,0.24,eastern_region
3121,2013,westbengal,dinajpurdakshin,104.525,503952.0,1,0.24,eastern_region
3122,2014,westbengal,dinajpurdakshin,,515702.0,1,0.24,eastern_region
3123,2015,westbengal,dinajpurdakshin,,546988.0,1,0.24,eastern_region
3124,2016,westbengal,dinajpurdakshin,95.657143,584911.0,1,0.24,eastern_region
3125,2017,westbengal,dinajpurdakshin,95.5,623787.0,1,0.24,eastern_region
3126,2018,westbengal,dinajpurdakshin,123.425,659288.0,1,0.24,eastern_region
3127,2000,westbengal,dinajpuruttar,59.733334,247972.31111561856,1,0.28,eastern_region
3128,2001,westbengal,dinajpuruttar,53.81818,265880.32837131777,1,0.28,eastern_region
3129,2002,westbengal,dinajpuruttar,33.5625,275199.53359278664,1,0.28,eastern_region
3130,2003,westbengal,dinajpuruttar,,291369.5209867059,1,0.28,eastern_region
3131,2004,westbengal,dinajpuruttar,28.06875,310686.6999675226,1,0.28,eastern_region
3132,2005,westbengal,dinajpuruttar,65.071426,330248.80030542583,1,0.28,eastern_region
3133,2006,westbengal,dinajpuruttar,40.381248,356170.8313006164,1,0.28,eastern_region
3134,2007,westbengal,dinajpuruttar,47.090908,383881.4906091932,1,0.28,eastern_region
3135,2008,westbengal,dinajpuruttar,,399354.5969692363,1,0.28,eastern_region
3136,2009,westbengal,dinajpuruttar,89.25,430366.20743387047,1,0.28,eastern_region
3137,2010,westbengal,dinajpuruttar,90.5,456461.5424521131,1,0.28,eastern_region
3138,2011,westbengal,dinajpuruttar,202.57143,473205.0,1,0.28,eastern_region
3139,2012,westbengal,dinajpuruttar,158.16667,492901.0,1,0.28,eastern_region
3140,2013,westbengal,dinajpuruttar,70.800003,503952.0,1,0.28,eastern_region
3141,2014,westbengal,dinajpuruttar,,515702.0,1,0.28,eastern_region
3142,2015,westbengal,dinajpuruttar,,546988.0,1,0.28,eastern_region
3143,2016,westbengal,dinajpuruttar,85.68,584911.0,1,0.28,eastern_region
3144,2017,westbengal,dinajpuruttar,41.64706,623787.0,1,0.28,eastern_region
3145,2018,westbengal,dinajpuruttar,49.442001,659288.0,1,0.28,eastern_region
3146,2000,tamilnadu,dindigul,430.19049,288498.3205747694,1,0.28,southern_region
3147,2001,tamilnadu,dindigul,368.03705,282908.6927283517,1,0.28,southern_region
3148,2002,tamilnadu,dindigul,348.30768,284324.36644762417,1,0.28,southern_region
3149,2003,tamilnadu,dindigul,,302043.121385615,1,0.28,southern_region
3150,2004,tamilnadu,dindigul,473.875,337921.3167903381,1,0.28,southern_region
3151,2005,tamilnadu,dindigul,471.66666,386683.4090471607,1,0.28,southern_region
3152,2006,tamilnadu,dindigul,371.5,447233.3527585457,1,0.28,southern_region
3153,2007,tamilnadu,dindigul,307.05554,475248.4774441926,1,0.28,southern_region
3154,2008,tamilnadu,dindigul,,500384.2601757273,1,0.28,southern_region
3155,2009,tamilnadu,dindigul,339.1875,552763.8529603527,1,0.28,southern_region
3156,2010,tamilnadu,dindigul,308.0,628152.0055419293,1,0.28,southern_region
3157,2011,tamilnadu,dindigul,359.0,674478.0,1,0.28,southern_region
3158,2012,tamilnadu,dindigul,309.36365,709343.0,1,0.28,southern_region
3159,2013,tamilnadu,dindigul,291.27274,750416.0,1,0.28,southern_region
3160,2014,tamilnadu,dindigul,378.83334,791915.0,1,0.28,southern_region
3161,2015,tamilnadu,dindigul,229.63637,862437.0,1,0.28,southern_region
3162,2016,tamilnadu,dindigul,355.89655,922084.0,1,0.28,southern_region
3163,2017,tamilnadu,dindigul,294.83334,1000308.0,1,0.28,southern_region
3164,2018,tamilnadu,dindigul,295.0907,1071602.0,1,0.28,southern_region
3165,2000,madhyapradesh,dindori,,142623.92245088037,1,0.22,central_region
3166,2001,madhyapradesh,dindori,55.444443,152826.6075400632,1,0.22,central_region
3167,2002,madhyapradesh,dindori,48.666668,144856.76138662823,1,0.22,central_region
3168,2003,madhyapradesh,dindori,,161106.27345013304,1,0.22,central_region
3169,2004,madhyapradesh,dindori,67.0,166392.43950471698,1,0.22,central_region
3170,2005,madhyapradesh,dindori,55.400002,174775.328567217,1,0.22,central_region
3171,2006,madhyapradesh,dindori,,190708.6450176887,1,0.22,central_region
3172,2007,madhyapradesh,dindori,57.153847,199720.8751061321,1,0.22,central_region
3173,2008,madhyapradesh,dindori,,224971.1026179245,1,0.22,central_region
3174,2009,madhyapradesh,dindori,69.0,246297.10579599056,1,0.22,central_region
3175,2010,madhyapradesh,dindori,55.0,259230.23037146227,1,0.22,central_region
3176,2011,madhyapradesh,dindori,47.272728,282371.0,1,0.22,central_region
3177,2012,madhyapradesh,dindori,57.799999,306853.0,1,0.22,central_region
3178,2013,madhyapradesh,dindori,65.771385,322598.0,1,0.22,central_region
3179,2014,madhyapradesh,dindori,69.933334,339247.0,1,0.22,central_region
3180,2015,madhyapradesh,dindori,62.714287,370716.0,1,0.22,central_region
3181,2016,madhyapradesh,dindori,108.8,419465.0,1,0.22,central_region
3182,2017,madhyapradesh,dindori,47.466667,441956.0,1,0.22,central_region
3183,2018,madhyapradesh,dindori,52.467411,482361.0,1,0.22,central_region
3184,2000,thedadraandnagarhavelianddamananddiu,diu,,2956.0,1,0.29,western_region
3185,2001,thedadraandnagarhavelianddamananddiu,diu,,2957.0,1,0.29,western_region
3186,2002,thedadraandnagarhavelianddamananddiu,diu,355.0,2958.0,1,0.29,western_region
3187,2003,thedadraandnagarhavelianddamananddiu,diu,,2959.0,1,0.29,western_region
3188,2004,thedadraandnagarhavelianddamananddiu,diu,,2960.0,1,0.29,western_region
3189,2005,thedadraandnagarhavelianddamananddiu,diu,319.0,2961.0,1,0.29,western_region
3190,2006,thedadraandnagarhavelianddamananddiu,diu,255.0,2962.0,1,0.29,western_region
3191,2007,thedadraandnagarhavelianddamananddiu,diu,291.0,2963.0,1,0.29,western_region
3192,2008,thedadraandnagarhavelianddamananddiu,diu,411.0,2964.0,1,0.29,western_region
3193,2009,thedadraandnagarhavelianddamananddiu,diu,340.0,2965.0,1,0.29,western_region
3194,2010,thedadraandnagarhavelianddamananddiu,diu,582.0,2966.0,1,0.29,western_region
3195,2011,thedadraandnagarhavelianddamananddiu,diu,354.0,2967.0,1,0.29,western_region
3196,2012,thedadraandnagarhavelianddamananddiu,diu,156.0,2968.0,1,0.29,western_region
3197,2013,thedadraandnagarhavelianddamananddiu,diu,,2969.0,1,0.29,western_region
3198,2014,thedadraandnagarhavelianddamananddiu,diu,135.0,2970.0,1,0.29,western_region
3199,2015,thedadraandnagarhavelianddamananddiu,diu,904.0,2971.0,1,0.29,western_region
3200,2016,thedadraandnagarhavelianddamananddiu,diu,2836.0,2972.0,1,0.29,western_region
3201,2017,thedadraandnagarhavelianddamananddiu,diu,3413.5,2973.0,1,0.29,western_region
3202,2018,thedadraandnagarhavelianddamananddiu,diu,4971.3335,2974.0,1,0.29,western_region
3203,2000,jharkhand,dumka,,65731.49293120936,1,0.23,eastern_region
3204,2001,jharkhand,dumka,,70260.19384688395,1,0.23,eastern_region
3205,2002,jharkhand,dumka,67.5,72227.4792745967,1,0.23,eastern_region
3206,2003,jharkhand,dumka,,77692.98277489642,1,0.23,eastern_region
3207,2004,jharkhand,dumka,75.699997,90933.9477275846,1,0.23,eastern_region
3208,2005,jharkhand,dumka,88.769234,86858.23663560263,1,0.23,eastern_region
3209,2006,jharkhand,dumka,66.0,88313.3580473321,1,0.23,eastern_region
3210,2007,jharkhand,dumka,,107985.77685043102,1,0.23,eastern_region
3211,2008,jharkhand,dumka,83.375,103644.40755018276,1,0.23,eastern_region
3212,2009,jharkhand,dumka,71.46154,113915.95362850404,1,0.23,eastern_region
3213,2010,jharkhand,dumka,55.827274,130487.88405254688,1,0.23,eastern_region
3214,2011,jharkhand,dumka,53.220001,137383.0,1,0.23,eastern_region
3215,2012,jharkhand,dumka,89.099998,149526.0,1,0.23,eastern_region
3216,2013,jharkhand,dumka,89.099998,150609.0,1,0.23,eastern_region
3217,2014,jharkhand,dumka,,170568.0,1,0.23,eastern_region
