,district,ginivalue
511,eastdistrict,0.28
512,westdistrict,0.19
513,southdistrict,0.24
514,northdistrict,0.24
515,sikkim,0.26
516,thiruvallur,0.3
517,chennai,0.34
518,thanjavur,0.28
519,thiruvarur,0.23
520,namakkal,0.32
521,nagapattinam,0.26
522,kanniyakumari,0.36
523,tiruchirappalli,0.29
524,kanchipuram,0.31
525,coimbatore,0.34
526,pudukkottai,0.27
527,perambalur,0.27
528,ariyalur,0.24
529,erode,0.31
530,karur,0.3
531,dindigul,0.28
532,madurai,0.28
533,theni,0.24
534,tirunelveli,0.28
535,vellore,0.28
536,ramanathapuram,0.25
537,thoothukkudi,0.2
538,salem,0.26
539,tiruvannamalai,0.29
540,dharmapuri,0.32
541,sivaganga,0.27
542,virudhunagar,0.27
543,thenilgiris,0.3
544,krishnagiri,0.39
545,cuddalore,0.27
546,villupuram,0.27
547,tiruppur,
548,tamilnadu,0.33
549,medak,0.23
550,rangareddy,0.31
551,mahbubnagar,0.25
552,karimnagar,0.2
553,adilabad,0.37
554,nizamabad,0.27
555,warangal,0.23
556,khammam,0.23
557,hyderabad,0.26
558,nalgonda,0.32
559,telangana,0.17
560,dhalai,0.17
561,northtripura,0.24
562,southtripura,0.24
563,westtripura,0.27
564,tripura,0.25
565,ghaziabad,0.4
566,gautambuddhanagar,0.47
567,muzaffarnagar,0.27
568,meerut,0.46
569,auraiya,0.19
570,pilibhit,0.25
571,saharanpur,0.26
572,hathras,0.25
573,aligarh,0.28
574,bulandshahr,0.26
575,mathura,0.23
576,kanpurdehat,0.2
577,jhansi,0.34
578,baghpat,0.28
579,deoria,0.31
580,shravasti,0.15
581,amroha,0.24
582,sultanpur,0.31
583,varanasi,0.32
584,etawah,0.21
585,lalitpur,0.23
586,kanpurnagar,0.33
587,bareilly,0.27
588,ghazipur,0.24
589,kushinagar,0.24
590,gorakhpur,0.32
591,lucknow,0.42
592,kheri,0.24
593,bijnor,0.25
594,siddharthnagar,0.27
595,farrukhabad,0.24
596,agra,0.26
597,moradabad,0.27
598,santkabeernagar,0.25
599,chandauli,0.3
600,prayagraj,0.37
601,varanasi,0.32
602,etawah,0.21
603,lalitpur,0.23
604,kanpurnagar,0.33
605,bareilly,0.27
606,ghazipur,0.24
607,kushinagar,0.24
608,gorakhpur,0.32
609,lucknow,0.42
610,kheri,0.24
611,bijnor,0.25
612,siddharthnagar,0.27
613,farrukhabad,0.24
614,agra,0.26
615,moradabad,0.27
616,santkabirnagar,0.25
617,chandauli,0.3
618,allahabad,0.37
619,budaun,0.22
620,shahjahanpur,0.21
621,bahraich,0.24
622,kanshiramnagar,0.29
623,firozabad,0.24
624,mahoba,0.26
625,ballia,0.27
626,mirzapur,0.28
627,hardoi,0.21
628,jaunpur,0.23
629,unnao,0.27
630,ambedkarnagar,0.22
631,etah,0.3
632,rampur,0.21
633,jalaun,0.28
634,balrampur,0.2
635,gonda,0.24
636,maharajganj,0.26
637,barabanki,0.19
638,chitrakoot,0.17
639,sitapur,0.26
640,azamgarh,0.27
641,fatehpur,0.19
642,basti,0.31
643,faizabad,0.39
644,sonbhadra,0.27
645,mainpuri,0.25
646,raebareli,0.22
647,pratapgarh,0.23
