,0
419,-355.54684460112634
420,-274.39262385112636
421,-274.19792170268886
422,-283.02397150737636
423,-271.15596053081384
424,-255.3464437925326
425,-253.2639089800326
426,-225.12046902690759
427,-256.10260050347006
428,-243.96698812847006
429,-242.44822774370442
430,-265.1450851343294
431,-265.2529952905794
432,-262.4456222437044
433,-239.0104161810213
434,-217.41359641539628
435,-161.7025535638338
436,-132.39412207945878
437,-117.05262629820878
438,-136.88777034117754
439,-158.61726252867754
440,-180.77973811461504
441,-109.15205256774004
442,-135.50947444274004
443,-158.7539202435213
444,-176.9350725872713
445,-196.4580218060213
446,-229.08290355040606
447,-248.45839183165606
448,-259.80067698790606
449,-259.99533335997637
450,-291.29367320372637
451,-248.92270152403887
452,-245.57113902403887
453,-210.53769175841387
454,-207.80807750060137
455,-207.81674449278887
456,-207.93779246642168
457,-281.6311518414217
458,-313.4172846539217
459,-346.0378635679842
460,-349.1706760679842
461,-371.77136906798415
462,-390.1215663804842
463,-381.31335004845295
464,-402.23834904845296
465,-481.33502873595296
466,-498.79175873595295
467,-538.731047767203
468,-572.7270004351717
469,-632.6020004351717
470,-657.6642406851718
471,-682.8976391226718
472,-688.0226391226718
473,-706.0974529654452
474,-751.7535504498202
475,-793.9615582623202
476,-805.2242535748202
477,-828.2782086529452
478,-830.8094586529452
479,-830.882426182242
480,-803.421976963492
481,-795.484476963492
482,-800.248392979117
483,-800.861918369742
484,-823.506449619742
485,-861.861918369742
486,-903.930277744742
487,-924.308451572867
488,-906.0403890494296
489,-930.4056234244296
490,-930.5701742056796
491,-933.3323812369296
492,-949.0179281119296
493,-954.7991781119296
494,-960.0748281363436
495,-1044.6707754019685
496,-1095.9839237769686
497,-1200.3691776832186
498,-1200.542395456656
499,-1254.0676640113436
500,-1338.3254765113436
501,-1374.838538034781
502,-1402.1457279761873
503,-1403.0104740699373
504,-1455.1969975074373
505,-1464.6325443824373
506,-1471.5466068824373
507,-1471.7199467261873
508,-1471.9178227027498
509,-1539.350500925406
510,-1562.3037479957186
511,-1587.2993422574373
512,-1618.7907973355623
513,-1628.1018705152499
514,-1639.3645658277499
515,-1613.4185209058749
516,-1615.9497709058749
517,-1616.0227384351717
518,-1629.5622892164217
519,-1621.6247892164217
520,-1626.3887052320467
521,-1643.5022306226717
522,-1666.4800948726718
523,-1704.8355636226718
524,-1724.9039229976718
525,-1718.0320968257968
526,-1720.6912343023594
527,-1723.5064696773593
528,-1723.6710204586093
529,-1726.4332274898593
530,-1723.1187743648593
531,-1728.9000243648593
532,-1734.1756743892734
533,-1720.2023697642733
534,-1705.7662815767733
535,-1713.6022414908357
536,-1716.7350539908357
537,-1688.8913039908357
538,-1668.0233153033357
539,-1592.4150999713045
540,-1606.1115299713044
541,-1554.0082096588044
542,-1543.6047976588043
543,-1567.9380266900544
544,-1555.040039358023
545,-1524.3150393580231
546,-1545.1106136080232
547,-1534.677348045523
548,-1581.552348045523
549,-1595.1800448882966
550,-1596.6456663726717
551,-1581.6084811851717
552,-1585.1200531002107
553,-1570.1177113502108
554,-1571.5542347877108
555,-1572.9995472877108
556,-1569.5198607877107
557,-1554.5823607877107
558,-1556.6331420377107
559,-1559.9983764127107
560,-1563.9768920377107
561,-1566.3479857877107
562,-1568.5223021939607
563,-1571.7298217252107
564,-1573.7577453091951
565,-1576.2616515591951
566,-1577.8939834073396
567,-1580.6830459073396
568,-1592.3610244229646
569,-1595.2371230557771
570,-1594.892919368277
571,-1572.155614680777
572,-1549.418309993277
573,-1555.8609025635894
574,-1562.3034951339018
575,-1575.113039056265
576,-1587.9225829786283
577,-1589.193975800894
578,-1590.4653686231595
579,-1614.243498167105
580,-1638.0216277110503
581,-1635.9932177110504
582,-1633.9648077110505
583,-1639.765302796988
584,-1645.5657978829254
585,-1618.3743148946442
586,-1591.182831906363
587,-1618.2725192032378
588,-1645.3622065001127
589,-1602.7945952501127
